Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast
1,1,1,97.2,0.89318,3
1,1,2,65.3,0.85177,2
1,2,2,80.5,0.69994,2
1,1,1,96.8,0.82714,1
1,2,2,100,0.73304,3
1,2,2,100,0.83347,2
1,1,2,100,0.67628,2
1,1,1,100,0.75589,3
1,1,2,67.7,1.4471,1
1,2,2,97.4,0.8811,1
1,1,2,66.5,0.8888,3
1,2,2,59.2,0.78215,2
1,2,1,69.3,0.52922,2
1,2,2,69.7,0.57644,1
1,1,1,74.1,0.67584,1
1,1,1,74.4,0.67387,3
1,2,2,74.2,0.61751,1
1,2,1,76.3,0.66043,2
1,2,2,71.5,0.63765,1
1,2,1,75.8,0.54301,1
1,1,1,66.8,0.52451,2
1,2,2,81.5,0.7221,2
1,1,2,65.9,0.63829,1
1,2,2,71.1,0.67283,2
1,2,2,71.1,0.79119,2
1,2,2,91.4,0.74586,3
1,2,2,76.1,0.64026,3
1,1,1,82.8,0.73676,1
1,1,1,78,0.65337,3
1,1,1,82.4,0.75754,3
1,2,2,75.3,0.70623,3
1,2,2,77.7,0.61632,1
1,2,2,64.7,0.64344,1
1,2,1,69.9,0.93127,2
1,2,2,100,0.64874,1
1,2,2,94,0.69755,1
1,1,1,89.5,2.9367,3
1,1,1,66.4,0.62941,2
1,1,2,68.7,0.54221,1
1,2,2,89.1,0.82716,3
1,2,2,74.7,0.74097,1
1,1,2,70,0.8007,1
1,2,2,89.8,0.75588,1
1,2,2,71.8,0.87896,1
1,1,1,100,0.68044,3
1,1,2,79.6,0.61631,2
1,1,1,85.8,0.67353,3
1,2,2,89.3,0.73654,1
1,2,2,83.5,0.72657,3
1,1,2,77.6,0.8044,1
1,1,1,69.9,0.84622,2
1,1,1,78.8,0.76626,1
1,2,2,88,0.70647,3
1,2,2,83.3,0.85002,3
1,1,1,82.7,0.65862,2
1,2,2,95.6,0.77952,2
1,2,2,80.6,0.75796,3
1,1,1,83.4,0.77754,3
1,1,1,75.4,0.69298,1
1,2,2,86.3,0.57222,3
1,1,1,75.5,0.74503,3
1,1,2,73.8,0.61881,1
1,1,2,67.8,0.58766,3
1,1,2,66.1,0.65441,3
1,2,2,71,0.7194,2
1,1,1,73.9,0.66075,2
1,1,1,89.4,0.85329,2
1,1,1,75.4,0.82291,3
1,1,1,68.2,0.66306,1
1,1,1,65.9,0.95078,2
1,1,1,83.3,0.81225,3
1,1,1,93.5,0.77513,3
1,1,1,79.5,1.0092,2
1,2,1,64.8,0.89304,1
1,1,1,86.2,0.73874,2
1,2,2,100,0.77624,2
1,1,1,76.2,0.69888,2
1,1,1,60.1,0.83469,2
1,2,2,89.2,0.81098,3
1,2,2,89.3,0.76478,3
1,1,1,100,0.71503,3
1,1,2,66.7,1.1762,1
1,1,1,91.4,0.715,1
1,2,2,99.2,0.71286,3
1,1,1,66.7,0.68697,3
1,2,2,82.4,0.77498,1
1,2,1,63.5,1.2602,1
1,1,1,59.1,1.1143,1
1,2,2,70.9,0.78476,1
1,2,2,88.4,0.73936,3
1,1,2,65.2,0.77568,1
1,2,1,84.8,0.72385,2
1,2,2,74.6,0.61772,2
1,2,2,76.4,0.76468,3
1,1,1,82.2,0.61594,3
1,2,2,81.5,0.59386,1
1,1,1,78.6,0.60584,3
1,1,2,68.4,0.8167,2
1,2,2,80.4,0.65898,1
1,1,2,72.3,0.80121,2
1,2,2,77.3,0.67745,1
1,2,2,65.1,0.71819,3
1,2,2,74.3,0.64257,3
1,1,1,85.5,0.62086,3
1,2,2,78.9,0.6056,1
1,1,1,90.7,0.68111,3
1,1,1,71.6,0.68138,3
1,1,2,97.1,0.63068,3
1,1,1,69.9,1.1382,3
1,1,2,82.6,0.76741,1
1,2,2,71.1,0.79487,1
1,1,1,67.1,0.65126,1
1,2,2,66.6,0.64283,2
1,1,2,72.5,0.79739,1
1,2,1,73.1,0.67193,2
1,1,2,92.3,0.64707,3
1,2,2,68.7,0.78519,1
1,1,1,77.2,0.62085,2
1,2,2,71.6,0.98052,3
1,2,1,58.1,0.92851,3
